Designator,Mid X,Mid Y,Layer,Rotation
R81,-80.09646,-96.22536,bottom,0
R82,-87.66556,-91.37664,bottom,270
R83,-81.663493,-75.531933,bottom,135
R84,-79.4766,-89.939,bottom,270
R85,-79.87274,-73.36536,bottom,0
R86,-88.45804,-60.1471,bottom,270
U2,-101.2967,-59.7916,bottom,180
U6,-123.0376,-102.8065,bottom,90
U7,-128.56972,-78.50084,bottom,270
U8,-86.295,-103.632,bottom,0
U11,-104.4082,-103.6574,bottom,0
U12,-86.580307,-81.861805,bottom,45
